[32] pry(main)> clean_data_dir
  KEEP scraped-data/2022-02-02: 111869034
DELETE scraped-data/2022-02-03: 111869034
  KEEP scraped-data/2022-02-04: 111870617
  KEEP scraped-data/2022-02-05: 111888129
DELETE scraped-data/2022-02-06: 111888129
  KEEP scraped-data/2022-02-07: 72529359
DELETE scraped-data/2022-02-08: 72529359
  KEEP scraped-data/2022-02-09: 72531501
  KEEP scraped-data/2022-02-21: 72542344
  KEEP scraped-data/2022-02-22: 72542505
DELETE scraped-data/2022-02-23: 72542505
  KEEP scraped-data/2022-02-24: 72542664
  KEEP scraped-data/2022-02-25: 72542376
  KEEP scraped-data/2022-02-26: 72543989
  KEEP scraped-data/2022-02-27: 72543986
DELETE scraped-data/2022-02-28: 72543986
DELETE scraped-data/2022-03-01: 72543986
  KEEP scraped-data/2022-03-02: 72546408
DELETE scraped-data/2022-03-03: 72546408
  KEEP scraped-data/2022-03-04: 72546740
  KEEP scraped-data/2022-03-05: 72581938
  KEEP scraped-data/2022-03-06: 72582420
  KEEP scraped-data/2022-03-07: 72572630
DELETE scraped-data/2022-03-08: 72572630
  KEEP scraped-data/2022-03-09: 72574009
  KEEP scraped-data/2022-03-20: 72628305
DELETE scraped-data/2022-03-21: 72628305
DELETE scraped-data/2022-03-22: 72628305
  KEEP scraped-data/2022-03-23: 68673539
DELETE scraped-data/2022-03-24: 68673539
  KEEP scraped-data/2022-03-25: 68674027
  KEEP scraped-data/2022-03-26: 68576882
  KEEP scraped-data/2022-03-27: 68674189
DELETE scraped-data/2022-03-28: 68674189
DELETE scraped-data/2022-03-29: 68674189
  KEEP scraped-data/2022-03-30: 68677432
  KEEP scraped-data/2022-03-31: 68680153
  KEEP scraped-data/2022-04-01: 68682393
  KEEP scraped-data/2022-04-02: 68681236
  KEEP scraped-data/2022-04-03: 68685984
DELETE scraped-data/2022-04-04: 68685984
DELETE scraped-data/2022-04-05: 68685984
  KEEP scraped-data/2022-04-06: 69796005
  KEEP scraped-data/2022-04-07: 71889423
  KEEP scraped-data/2022-04-08: 72224790
  KEEP scraped-data/2022-04-09: 73506573
  KEEP scraped-data/2022-04-20: 104162520
  KEEP scraped-data/2022-04-21: 104166372
DELETE scraped-data/2022-04-22: 104166372
  KEEP scraped-data/2022-04-23: 104197199
  KEEP scraped-data/2022-04-24: 104214530
DELETE scraped-data/2022-04-25: 104214530
DELETE scraped-data/2022-04-26: 104214530
  KEEP scraped-data/2022-04-27: 104218262
  KEEP scraped-data/2022-04-28: 104621345
  KEEP scraped-data/2022-04-29: 104724222
  KEEP scraped-data/2022-04-30: 104732616
  KEEP scraped-data/2022-05-01: 104733922
DELETE scraped-data/2022-05-02: 104733922
DELETE scraped-data/2022-05-03: 104733922
  KEEP scraped-data/2022-05-04: 104734588
  KEEP scraped-data/2022-05-05: 104743195
  KEEP scraped-data/2022-05-06: 105634814
DELETE scraped-data/2022-05-07: 105634814
  KEEP scraped-data/2022-05-08: 105636396
DELETE scraped-data/2022-05-09: 105636396
  KEEP scraped-data/2022-05-20: 105671854
  KEEP scraped-data/2022-05-21: 105673648
  KEEP scraped-data/2022-05-22: 105675721
DELETE scraped-data/2022-05-23: 105675721
  KEEP scraped-data/2022-05-24: 105704817
  KEEP scraped-data/2022-05-25: 105438061
  KEEP scraped-data/2022-05-26: 105708317
  KEEP scraped-data/2022-05-27: 105708605
  KEEP scraped-data/2022-05-28: 105722167
  KEEP scraped-data/2022-05-29: 105726975
DELETE scraped-data/2022-05-30: 105726975
DELETE scraped-data/2022-05-31: 105726975
DELETE scraped-data/2022-06-01: 105726975
  KEEP scraped-data/2022-06-02: 105708589
  KEEP scraped-data/2022-06-03: 105710364
  KEEP scraped-data/2022-06-04: 105671349
  KEEP scraped-data/2022-06-05: 105727899
DELETE scraped-data/2022-06-06: 105727899
  KEEP scraped-data/2022-06-07: 105606447
  KEEP scraped-data/2022-06-08: 105730631
  KEEP scraped-data/2022-06-09: 105734936
  KEEP scraped-data/2022-06-20: 106388972
  KEEP scraped-data/2022-06-21: 106060415
DELETE scraped-data/2022-06-22: 106060415
  KEEP scraped-data/2022-06-23: 106059091
  KEEP scraped-data/2022-06-24: 106069610
  KEEP scraped-data/2022-06-25: 107603889
  KEEP scraped-data/2022-06-26: 107605456
DELETE scraped-data/2022-06-28: 107605456
  KEEP scraped-data/2022-06-29: 107606555
  KEEP scraped-data/2022-06-30: 107606933
  KEEP scraped-data/2022-07-01: 107607393
  KEEP scraped-data/2022-07-02: 107594099
  KEEP scraped-data/2022-07-03: 107594900
DELETE scraped-data/2022-07-04: 107594900
DELETE scraped-data/2022-07-05: 107594900
  KEEP scraped-data/2022-07-07: 107718586
  KEEP scraped-data/2022-07-08: 107722694
  KEEP scraped-data/2022-07-09: 107755510
  KEEP scraped-data/2022-07-20: 107766817
  KEEP scraped-data/2022-07-21: 107772818
  KEEP scraped-data/2022-07-22: 108301589
  KEEP scraped-data/2022-07-23: 108174883
  KEEP scraped-data/2022-07-24: 107787486
DELETE scraped-data/2022-07-25: 107787486
  KEEP scraped-data/2022-07-26: 107875081
  KEEP scraped-data/2022-07-27: 108320909
  KEEP scraped-data/2022-07-28: 108283515
  KEEP scraped-data/2022-07-29: 108135443
  KEEP scraped-data/2022-07-30: 108136589
  KEEP scraped-data/2022-07-31: 108662490
DELETE scraped-data/2022-08-01: 108662490
DELETE scraped-data/2022-08-02: 108662490
  KEEP scraped-data/2022-08-03: 109014272
  KEEP scraped-data/2022-08-05: 108804078
  KEEP scraped-data/2022-08-06: 109547202
  KEEP scraped-data/2022-08-07: 109031260
DELETE scraped-data/2022-08-08: 109031260
  KEEP scraped-data/2022-08-09: 108985557
  KEEP scraped-data/2022-08-20: 109474751
  KEEP scraped-data/2022-08-22: 109108570
DELETE scraped-data/2022-08-23: 109108570
  KEEP scraped-data/2022-08-25: 109112290
  KEEP scraped-data/2022-08-26: 109486699
  KEEP scraped-data/2022-08-27: 109032160
  KEEP scraped-data/2022-08-28: 109641066
DELETE scraped-data/2022-08-29: 109641066
DELETE scraped-data/2022-08-30: 109641066
  KEEP scraped-data/2022-08-31: 109135597
  KEEP scraped-data/2022-09-01: 109162383
  KEEP scraped-data/2022-09-02: 109552270
  KEEP scraped-data/2022-09-03: 109582598
  KEEP scraped-data/2022-09-04: 109156091
DELETE scraped-data/2022-09-05: 109156091
  KEEP scraped-data/2022-09-06: 108992850
  KEEP scraped-data/2022-09-07: 109156091
  KEEP scraped-data/2022-09-08: 109160081
  KEEP scraped-data/2022-09-09: 109557998
  KEEP scraped-data/2022-09-20: 109605146
  KEEP scraped-data/2022-09-22: 108810365
  KEEP scraped-data/2022-09-23: 109381417
  KEEP scraped-data/2022-09-24: 109382860
  KEEP scraped-data/2022-09-25: 109357726
  KEEP scraped-data/2022-09-26: 109384492
DELETE scraped-data/2022-09-27: 109384492
  KEEP scraped-data/2022-09-28: 109219910
  KEEP scraped-data/2022-09-29: 109407871
  KEEP scraped-data/2022-09-30: 109668464
  KEEP scraped-data/2022-10-01: 110042715
  KEEP scraped-data/2022-10-02: 110558110
  KEEP scraped-data/2022-10-03: 110559761
DELETE scraped-data/2022-10-04: 110559761
  KEEP scraped-data/2022-10-05: 110047163
  KEEP scraped-data/2022-10-06: 110055678
  KEEP scraped-data/2022-10-07: 110528133
  KEEP scraped-data/2022-10-08: 110521525
  KEEP scraped-data/2022-10-09: 110105305
  KEEP scraped-data/2022-10-20: 110415314
  KEEP scraped-data/2022-10-22: 110229173
  KEEP scraped-data/2022-10-23: 110234419
DELETE scraped-data/2022-10-24: 110234419
DELETE scraped-data/2022-10-25: 110234419
  KEEP scraped-data/2022-10-26: 110610280
  KEEP scraped-data/2022-10-27: 110604321
  KEEP scraped-data/2022-10-28: 110608615
  KEEP scraped-data/2022-10-29: 110852430
  KEEP scraped-data/2022-10-30: 111419567
  KEEP scraped-data/2022-10-31: 112062713
DELETE scraped-data/2022-11-01: 112062713
  KEEP scraped-data/2022-11-02: 112580811
  KEEP scraped-data/2022-11-03: 112086893
  KEEP scraped-data/2022-11-04: 112457769
  KEEP scraped-data/2022-11-05: 112089111
  KEEP scraped-data/2022-11-06: 112096087
DELETE scraped-data/2022-11-08: 112096087
  KEEP scraped-data/2022-11-09: 112471785
  KEEP scraped-data/2022-11-20: 110301419
DELETE scraped-data/2022-11-21: 110301419
DELETE scraped-data/2022-11-22: 110301419
  KEEP scraped-data/2022-11-23: 110334021
  KEEP scraped-data/2022-11-24: 110451132
DELETE scraped-data/2022-11-25: 110451132
DELETE scraped-data/2022-11-28: 110451132
DELETE scraped-data/2022-11-29: 110451132
  KEEP scraped-data/2022-11-30: 110454532
  KEEP scraped-data/2022-12-01: 110460484
  KEEP scraped-data/2022-12-02: 110462444
  KEEP scraped-data/2022-12-03: 110474111
  KEEP scraped-data/2022-12-04: 110482022
DELETE scraped-data/2022-12-05: 110482022
DELETE scraped-data/2022-12-06: 110482022
  KEEP scraped-data/2022-12-07: 110956547
  KEEP scraped-data/2022-12-09: 110490682
  KEEP scraped-data/2022-12-21: 110552336
  KEEP scraped-data/2022-12-22: 107575215
  KEEP scraped-data/2022-12-23: 110993225
  KEEP scraped-data/2022-12-24: 110993224
DELETE scraped-data/2022-12-25: 110993224
DELETE scraped-data/2022-12-26: 110993224
DELETE scraped-data/2022-12-27: 110993224
DELETE scraped-data/2022-12-28: 110993224
  KEEP scraped-data/2022-12-29: 111006347
  KEEP scraped-data/2022-12-30: 111010489
  KEEP scraped-data/2022-12-31: 111015066
  KEEP scraped-data/2023-01-01: 111023262
DELETE scraped-data/2023-01-02: 111023262
DELETE scraped-data/2023-01-03: 111023262
  KEEP scraped-data/2023-01-05: 111023544
  KEEP scraped-data/2023-01-06: 111023629
  KEEP scraped-data/2023-01-07: 111542224
  KEEP scraped-data/2023-01-08: 111454454
DELETE scraped-data/2023-01-09: 111454454
  KEEP scraped-data/2023-01-20: 111875620
  KEEP scraped-data/2023-01-21: 111970410
  KEEP scraped-data/2023-01-23: 111975881
DELETE scraped-data/2023-01-24: 111975881
  KEEP scraped-data/2023-01-26: 111986616
  KEEP scraped-data/2023-01-27: 111990881
  KEEP scraped-data/2023-01-28: 111989582
  KEEP scraped-data/2023-01-29: 106991420
  KEEP scraped-data/2023-01-30: 111991487
DELETE scraped-data/2023-01-31: 111991487
  KEEP scraped-data/2023-02-02: 111950471
  KEEP scraped-data/2023-02-03: 111948529
  KEEP scraped-data/2023-02-04: 112352622
  KEEP scraped-data/2023-02-05: 111433849
  KEEP scraped-data/2023-02-06: 112574459
DELETE scraped-data/2023-02-07: 112574459
  KEEP scraped-data/2023-02-08: 112621775
  KEEP scraped-data/2023-02-09: 112654315
  KEEP scraped-data/2023-02-20: 112958739
  KEEP scraped-data/2023-02-21: 112623826
  KEEP scraped-data/2023-02-22: 112958739
  KEEP scraped-data/2023-02-23: 112982432
  KEEP scraped-data/2023-02-25: 112985914
  KEEP scraped-data/2023-02-26: 113573252
  KEEP scraped-data/2023-02-27: 113008519
DELETE scraped-data/2023-02-28: 113008519
  KEEP scraped-data/2023-03-01: 113009419
  KEEP scraped-data/2023-03-02: 112942574
  KEEP scraped-data/2023-03-04: 112947900
  KEEP scraped-data/2023-03-05: 112954084
DELETE scraped-data/2023-03-06: 112954084
DELETE scraped-data/2023-03-07: 112954084
  KEEP scraped-data/2023-03-08: 112959090
  KEEP scraped-data/2023-03-20: 113026020
  KEEP scraped-data/2023-03-21: 112929340
  KEEP scraped-data/2023-03-22: 113027887
  KEEP scraped-data/2023-03-24: 113127378
  KEEP scraped-data/2023-03-25: 113517743
